timestamp(s),nodeId,src,dst,seq,ttl,hops,rssi(dBm),battery(mV),score,sf,energyJ,energyFrac,forwarded
254.353065767,3,6,2,10,63,0,0,0,0,12,38878.312087488,0.999956587,1
254.740307868,2,5,2,15,63,0,0,0,0,12,38878.405699569,0.999958994,0
259.174904135,6,7,3,11,63,0,0,0,0,12,38878.363582666,0.999957911,1
259.174904380,3,7,3,11,63,0,0,0,0,12,38878.232660746,0.999954544,0
260.633247551,4,1,4,12,63,0,0,0,0,12,38877.789618559,0.999943149,0
262.017717472,3,0,3,9,63,0,0,0,0,12,38878.153946453,0.999952519,0
262.017717717,4,0,3,9,63,0,0,0,0,12,38877.780466325,0.999942913,1
264.353065767,3,6,2,11,63,0,0,0,0,12,38878.135798080,0.999952052,1
264.492843087,2,6,2,11,62,1,0,0,0,12,38878.307190128,0.999956461,0
265.425341154,6,4,6,12,63,0,0,0,0,12,38878.197296925,0.999953634,0
269.174904380,5,7,1,12,63,0,0,0,0,12,38878.128773386,0.999951872,1
269.314681215,1,7,1,12,62,1,0,0,0,12,38878.080120187,0.999950620,0
270.633247551,4,1,8,13,63,0,0,0,0,12,38877.621982975,0.999938837,1
270.633248282,8,1,8,13,63,0,0,0,0,12,38878.246106622,0.999954890,0
272.017717472,3,0,3,10,63,0,0,0,0,12,38877.969003221,0.999947762,0
272.284525693,4,2,4,13,63,0,0,0,0,12,38877.552351459,0.999937046,0
274.740308113,1,5,1,17,63,0,0,0,0,12,38877.974514609,0.999947904,0
275.425340909,7,4,7,13,63,0,0,0,0,12,38878.228923357,0.999954448,0
279.174904135,4,7,2,13,63,0,0,0,0,12,38877.472180042,0.999934984,1
279.174904865,2,7,2,13,63,0,0,0,0,12,38878.189598410,0.999953436,0
280.633247796,5,1,5,14,63,0,0,0,0,12,38877.960612799,0.999947547,0
282.017717717,4,0,6,11,63,0,0,0,0,12,38877.393465749,0.999932960,1
282.157494552,6,0,6,11,62,1,0,0,0,12,38878.061659526,0.999950146,0
284.353065767,3,6,2,13,63,0,0,0,0,12,38877.843602496,0.999944537,1
284.740307868,2,5,2,18,63,0,0,0,0,12,38878.092596337,0.999950941,0
285.425341154,2,4,2,14,63,0,0,0,0,12,38878.083695901,0.999950712,0
289.174904135,6,7,3,14,63,0,0,0,0,12,38877.964134730,0.999947637,1
289.174904380,3,7,3,14,63,0,0,0,0,12,38877.764175754,0.999942494,0
290.633247551,4,1,7,15,63,0,0,0,0,12,38877.234982399,0.999928883,1
292.284526178,3,2,3,15,63,0,0,0,0,12,38877.668057762,0.999940022,0
294.353065767,7,6,4,14,63,0,0,0,0,12,38878.040766144,0.999949608,1
294.353066012,4,6,4,14,63,0,0,0,0,12,38877.155952384,0.999926851,0
295.425340909,3,4,3,15,63,0,0,0,0,12,38877.640965597,0.999939325,0
299.174904135,4,7,4,15,63,0,0,0,0,12,38877.076525642,0.999924808,0
299.404519306,7,3,7,14,63,0,0,0,0,12,38877.900873509,0.999946010,0
300.633247551,2,1,2,16,63,0,0,0,0,12,38877.948607231,0.999947238,0
302.284526039,8,2,8,16,63,0,0,0,0,12,38877.958370402,0.999947489,0
304.353065767,3,6,2,15,63,0,0,0,0,12,38877.505193280,0.999935833,1
305.425340909,7,4,7,16,63,0,0,0,0,12,38877.858934365,0.999944931,0
309.404519061,4,3,4,15,63,0,0,0,0,12,38876.926654181,0.999920953,0
310.633247551,4,1,7,17,63,0,0,0,0,12,38876.857174783,0.999919166,1
310.773024141,7,1,7,17,62,1,0,0,0,12,38877.760904751,0.999942410,0
312.017717717,4,0,8,14,63,0,0,0,0,12,38876.787639317,0.999917378,1
312.157494553,8,0,8,14,62,1,0,0,0,12,38877.758556806,0.999942350,0
314.353065767,3,6,2,16,63,0,0,0,0,12,38877.301836480,0.999930603,1
315.425341154,2,4,2,17,63,0,0,0,0,12,38877.703947165,0.999940945,0
319.174904380,5,7,5,17,63,0,0,0,0,12,38877.424605322,0.999933760,0
319.404519306,1,3,1,16,63,0,0,0,0,12,38877.461338277,0.999934705,0
320.633247796,5,1,5,18,63,0,0,0,0,12,38877.415426495,0.999933524,0
322.017717717,4,0,8,15,63,0,0,0,0,12,38876.602143125,0.999912607,1
324.353065767,3,6,2,17,63,0,0,0,0,12,38877.125547072,0.999926069,1
324.492843087,2,6,2,17,62,1,0,0,0,12,38877.622991984,0.999938863,0
325.425341155,8,4,8,18,63,0,0,0,0,12,38877.571884189,0.999937548,0
329.174904135,6,7,0,18,63,0,0,0,0,12,38877.427422538,0.999933833,1
330.633248281,6,1,6,19,63,0,0,0,0,12,38877.357860478,0.999932044,0
332.017717472,1,0,5,16,63,0,0,0,0,12,38877.292761941,0.999930369,1
339.174904135,6,7,6,19,63,0,0,0,0,12,38877.277094602,0.999929966,0
339.404519061,6,3,6,18,63,0,0,0,0,12,38877.268358117,0.999929742,0
340.633247551,2,1,2,20,63,0,0,0,0,12,38877.478913791,0.999935157,0
342.017717472,1,0,2,17,63,0,0,0,0,12,38877.133780181,0.999926280,1
344.353065767,7,6,5,19,63,0,0,0,0,12,38877.389626944,0.999932861,1
344.353066497,5,6,5,19,63,0,0,0,0,12,38877.216890304,0.999928418,0
344.826449942,4,8,0,21,63,0,0,0,0,12,38876.300282574,0.999904843,1
344.966226777,0,8,0,21,62,1,0,0,0,12,38877.796157246,0.999943317,0
345.425341154,6,4,6,20,63,0,0,0,0,12,38877.162538269,0.999927020,0
349.404519791,2,3,8,19,63,0,0,0,0,12,38877.389411429,0.999932855,1
349.544296972,8,3,8,19,62,1,0,0,0,12,38877.329935189,0.999931325,0
350.633247796,5,1,5,21,63,0,0,0,0,12,38877.110977086,0.999925694,0
352.017717472,1,0,2,18,63,0,0,0,0,12,38876.957490773,0.999921746,1
355.425341155,8,4,8,21,63,0,0,0,0,12,38877.250127133,0.999929273,0
359.174904135,4,7,4,21,63,0,0,0,0,12,38876.062044490,0.999898715,0
359.404519061,4,3,4,20,63,0,0,0,0,12,38876.053308005,0.999898490,0
360.633247551,0,1,0,22,63,0,0,0,0,12,38877.678210943,0.999940283,0
362.017717472,1,0,2,19,63,0,0,0,0,12,38876.789855189,0.999917435,1
364.353065767,7,6,4,21,63,0,0,0,0,12,38877.130387776,0.999926193,1
364.353066012,4,6,4,21,63,0,0,0,0,12,38876.010096000,0.999897379,0
370.633247796,5,1,5,23,63,0,0,0,0,12,38876.820067134,0.999918212,0
372.284526178,3,2,3,23,63,0,0,0,0,12,38876.468517026,0.999909170,0
374.353065767,7,6,4,22,63,0,0,0,0,12,38876.898124992,0.999920219,1
374.353066012,4,6,4,22,63,0,0,0,0,12,38875.809130752,0.999892210,0
375.425340909,1,4,1,23,63,0,0,0,0,12,38876.506281309,0.999910141,0
379.174904135,4,7,4,23,63,0,0,0,0,12,38875.729704010,0.999890167,0
379.404519061,6,3,6,22,63,0,0,0,0,12,38876.801788901,0.999917741,0
379.404519306,7,3,6,22,63,0,0,0,0,12,38876.758232357,0.999916621,1
382.284526178,7,2,7,24,63,0,0,0,0,12,38876.670850850,0.999914374,0
384.353065767,3,6,1,23,63,0,0,0,0,12,38876.338056000,0.999905814,1
384.492842602,1,6,1,23,62,1,0,0,0,12,38876.399364656,0.999907391,0
385.425340909,3,4,3,24,63,0,0,0,0,12,38876.268632925,0.999904029,0
389.174904135,6,7,3,24,63,0,0,0,0,12,38876.694619210,0.999914985,1
389.174904380,3,7,3,24,63,0,0,0,0,12,38876.258629258,0.999903771,0
390.633247551,4,1,4,25,63,0,0,0,0,12,38875.595965183,0.999886727,0
390.633248142,7,1,4,25,63,0,0,0,0,12,38876.572846782,0.999911853,1
392.017717472,3,0,3,22,63,0,0,0,0,12,38876.171261141,0.999901524,0
392.284526178,7,2,7,25,63,0,0,0,0,12,38876.503215266,0.999910062,0
394.353065767,7,6,8,24,63,0,0,0,0,12,38876.493816768,0.999909820,1
394.353066358,8,6,8,24,63,0,0,0,0,12,38876.843221248,0.999918807,0
395.425341154,2,4,2,25,63,0,0,0,0,12,38876.798802333,0.999917665,0
399.174904135,4,7,2,25,63,0,0,0,0,12,38875.480584010,0.999883760,1
399.174904865,2,7,2,25,63,0,0,0,0,12,38876.788798666,0.999917407,0
400.633247796,3,1,3,26,63,0,0,0,0,12,38876.073161022,0.999899001,0
402.017718063,2,0,2,23,63,0,0,0,0,12,38876.770467605,0.999916936,0
404.353065767,3,6,2,25,63,0,0,0,0,12,38876.054514240,0.999898521,1
404.492843087,2,6,2,25,62,1,0,0,0,12,38876.700539504,0.999915137,0
405.425340909,1,4,1,26,63,0,0,0,0,12,38876.167216605,0.999901420,0
409.174904135,6,7,3,26,63,0,0,0,0,12,38876.428385098,0.999908137,1
410.633247796,5,1,5,27,63,0,0,0,0,12,38876.382403902,0.999906955,0
410.633248142,7,1,5,27,63,0,0,0,0,12,38876.228921790,0.999903007,1
412.017717472,3,0,6,24,63,0,0,0,0,12,38875.905027029,0.999894677,1
412.157494307,7,0,6,24,62,1,0,0,0,12,38876.150682182,0.999900995,1
414.353065767,3,6,2,26,63,0,0,0,0,12,38875.835149248,0.999892879,1
414.740308113,7,5,7,31,63,0,0,0,0,12,38876.063407665,0.999898750,0
415.425340909,3,4,3,27,63,0,0,0,0,12,38875.765726173,0.999891094,0
419.174904135,4,7,4,27,63,0,0,0,0,12,38875.179734602,0.999876022,0
419.404519306,1,3,1,26,63,0,0,0,0,12,38876.058531749,0.999898625,0
420.633248142,7,1,8,28,63,0,0,0,0,12,38875.974941502,0.999896475,1
420.773024734,8,1,8,28,62,1,0,0,0,12,38876.574675951,0.999911900,0
422.017717472,3,0,3,25,63,0,0,0,0,12,38875.668354389,0.999888589,0
422.284525448,5,2,5,28,63,0,0,0,0,12,38876.239941794,0.999903291,0
424.353065767,3,6,2,27,63,0,0,0,0,12,38875.608595776,0.999887052,1
424.353066847,2,6,2,27,63,0,0,0,0,12,38876.515544064,0.999910379,0
425.425340909,7,4,7,28,63,0,0,0,0,12,38875.873061469,0.999893854,0
429.404519061,0,3,0,27,63,0,0,0,0,12,38876.846325221,0.999918887,0
430.633247796,3,1,3,29,63,0,0,0,0,12,38875.454450622,0.999883088,0
432.017717472,3,0,3,26,63,0,0,0,0,12,38875.436091605,0.999882616,0
432.284525693,4,2,4,29,63,0,0,0,0,12,38874.975064802,0.999870758,0
434.353065767,7,6,7,28,63,0,0,0,0,12,38875.730294208,0.999890182,0
