nodeId,energyInitialJ,energyConsumedJ,energyRemainingJ,energyFrac
0,38880,22.4931,38857.5,0.999421
1,38880,26.0495,38853.9,0.999329
2,38879.9,22.6591,38857.3,0.999416
3,38880,28.6434,38851.3,0.999262
4,38879.9,33.0616,38846.9,0.999148
5,38880,25.5689,38854.4,0.999342
6,38879.9,24.1919,38855.7,0.999376
7,38879.9,25.8761,38854.1,0.999333
8,38880,22.7788,38857.2,0.999413
