timestamp(s),nodeId,destination,nextHop,hops,score,seq,action
335.203851437,8,3,3,1,1,1,USED
335.226146913,3,7,6,2,2,5,USED
335.241123005,0,6,3,2,2,5,USED
335.460710825,4,8,8,1,1,5,USED
335.486059863,1,7,7,1,1,2,USED
335.655553857,6,4,4,1,1,5,USED
335.759718254,5,1,1,1,2,5,USED
336.203851437,8,2,5,2,2,5,USED
336.226146913,3,5,6,2,2,5,USED
336.241123005,0,4,4,1,1,5,USED
336.460710825,4,3,3,1,1,5,USED
336.486059863,1,5,5,1,1,5,USED
336.655553857,6,4,4,1,1,5,USED
336.759718254,5,0,0,1,1,4,USED
337.203851437,8,2,5,2,2,5,USED
337.226146913,3,7,6,2,2,5,USED
337.241123005,0,4,4,1,1,5,USED
337.460710825,4,3,3,1,1,5,USED
337.486059863,1,5,5,1,1,5,USED
337.655553857,6,2,3,2,2,5,USED
337.759718254,5,1,1,1,2,5,USED
338.203851437,8,2,5,2,2,5,USED
338.226146913,3,0,0,1,1,5,USED
338.241123005,0,3,3,1,1,5,USED
338.460710825,4,6,6,1,1,5,USED
338.486059863,1,0,3,2,2,5,USED
338.655553857,6,5,5,1,2,5,USED
338.759718254,5,4,4,1,1,5,USED
339.203851437,8,0,5,2,2,5,USED
339.226146913,3,6,6,1,1,5,USED
339.241123005,0,4,4,1,1,5,USED
339.460710825,4,0,0,1,1,4,USED
339.486059863,1,2,4,2,2,5,USED
339.655553857,6,7,7,1,2,5,USED
339.759718254,5,0,0,1,1,4,USED
340.203851437,8,3,3,1,1,1,USED
340.226146913,3,2,2,1,1,5,USED
340.241123005,0,8,1,2,3,5,USED
340.460710825,4,0,0,1,1,4,USED
340.486059863,1,2,4,2,2,5,USED
340.655553857,6,7,7,1,2,5,USED
340.759718254,5,0,0,1,1,4,USED
341.203851437,8,2,5,2,2,5,USED
341.226146913,3,5,6,2,2,5,USED
341.241123005,0,8,1,2,3,5,USED
341.460710825,4,6,6,1,1,5,USED
341.486059863,1,2,4,2,2,5,USED
341.655553857,6,1,0,2,2,5,USED
341.759718254,5,2,2,1,1,5,USED
341.958782531,7,0,3,2,2,5,USED
342.203851437,8,6,7,2,2,3,USED
342.226146913,3,8,6,2,2,5,USED
342.241123005,0,8,1,2,3,5,USED
342.460710825,4,6,6,1,1,5,USED
342.486059863,1,3,3,1,1,5,USED
342.655553857,6,2,3,2,2,5,USED
342.759718254,5,7,8,2,2,4,USED
342.958782531,7,6,6,1,1,4,USED
343.203851437,8,2,5,2,2,5,USED
343.226146913,3,0,0,1,1,5,USED
343.241123005,0,6,3,2,2,5,USED
343.460710825,4,2,2,1,1,5,USED
343.486059863,1,0,3,2,2,5,USED
343.655553857,6,2,3,2,2,5,USED
343.759718254,5,3,4,2,2,5,USED
343.958782531,7,4,4,1,1,4,USED
344.203851437,8,6,7,2,2,3,USED
344.226146913,3,2,2,1,1,5,USED
344.241123005,0,1,1,1,1,5,USED
344.460710825,4,6,6,1,1,5,USED
344.486059863,1,8,5,2,2,5,USED
344.655553857,6,3,3,1,1,5,USED
344.759718254,5,6,4,2,2,5,USED
344.958782531,7,5,5,1,1,4,USED
345.203851437,8,7,7,1,1,3,USED
345.226146913,3,6,6,1,1,5,USED
345.241123005,0,4,4,1,1,5,USED
345.460710825,4,0,0,1,1,4,USED
345.486059863,1,6,4,2,2,5,USED
345.655553857,6,3,3,1,1,5,USED
345.759718254,5,1,1,1,2,5,USED
345.958782531,7,4,4,1,1,4,USED
346.203851437,8,5,5,1,1,5,USED
346.226146913,3,4,4,1,1,5,USED
346.241123005,0,4,4,1,1,5,USED
346.460710825,4,3,3,1,1,5,USED
346.486059863,1,4,4,1,1,5,USED
346.655553857,6,5,5,1,2,5,USED
346.759718254,5,4,4,1,1,5,USED
346.958782531,7,6,6,1,1,4,USED
347.203851437,8,3,3,1,1,1,USED
347.226146913,3,8,6,2,2,5,USED
347.241123005,0,7,7,1,1,4,USED
347.460710825,4,6,6,1,1,5,USED
347.486059863,1,8,5,2,2,5,USED
347.655553857,6,4,4,1,1,5,USED
347.759718254,5,7,8,2,2,4,USED
347.958782531,7,2,5,2,2,4,USED
348.203851437,8,3,3,1,1,1,USED
348.226146913,3,7,6,2,2,5,USED
348.241123005,0,7,7,1,1,4,USED
348.460710825,4,1,1,1,1,5,USED
348.486059863,1,5,5,1,1,5,USED
348.655553857,6,1,0,2,2,5,USED
348.759718254,5,0,0,1,1,4,USED
348.958782531,7,5,5,1,1,4,USED
349.203851437,8,3,3,1,1,1,USED
349.226146913,3,2,2,1,1,5,USED
349.241123005,0,6,3,2,2,5,USED
349.460710825,4,2,2,1,1,5,USED
349.486059863,1,7,7,1,1,2,USED
349.655553857,6,4,4,1,1,5,USED
